,0,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
48,49,49,20/01/2004 00:00,Local,Venta,Girona,40.0,321680.0,11/01/2005 00:00,Jesús
49,50,50,20/01/2004 00:00,Local,Alquiler,Tarragona,235.0,957625.0,13/11/2004 00:00,Carmen
50,51,51,20/01/2004 00:00,Industrial,Venta,Lleida,90.0,568620.0,14/12/2004 00:00,Joaquín
51,52,52,22/01/2004 00:00,Local,Alquiler,Lleida,206.0,1605564.0,26/09/2004 00:00,María
52,53,53,22/01/2004 00:00,Suelo,Alquiler,Tarragona,158.0,1438748.0,17/10/2004 00:00,Carmen
53,54,54,22/01/2004 00:00,Suelo,Alquiler,Barcelona,71.0,686996.0,30/05/2004 00:00,Luisa
54,55,55,22/01/2004 00:00,Local,Venta,Girona,127.0,983234.0,09/07/2004 00:00,Carmen
55,56,56,23/01/2004 00:00,Piso,Venta,Lleida,54.0,239220.0,01/05/2004 00:00,María
56,57,57,23/01/2004 00:00,Oficina,Alquiler,Lleida,54.0,512730.0,04/07/2004 00:00,Carmen
57,58,58,24/01/2004 00:00,Local,Alquiler,Girona,274.0,2287626.0,21/12/2004 00:00,María
58,59,59,24/01/2004 00:00,Industrial,Venta,Tarragona,166.0,1373816.0,19/11/2004 00:00,Joaquín
59,60,60,24/01/2004 00:00,Oficina,Alquiler,Lleida,270.0,1920240.0,28/06/2004 00:00,Jesús
60,61,61,24/01/2004 00:00,Casa,Venta,Tarragona,120.0,1140840.0,12/09/2004 00:00,Carmen
61,62,62,24/01/2004 00:00,Industrial,Venta,Tarragona,178.0,1142938.0,23/01/2005 00:00,Joaquín
62,63,63,25/01/2004 00:00,Piso,Venta,Barcelona,144.0,738144.0,06/09/2004 00:00,Luisa
63,64,64,26/01/2004 00:00,Industrial,Venta,Lleida,57.0,509010.0,13/10/2004 00:00,María
64,65,65,26/01/2004 00:00,Oficina,Venta,Tarragona,144.0,1436832.0,26/05/2004 00:00,Luisa
65,66,66,27/01/2004 00:00,Suelo,Venta,Lleida,272.0,2119424.0,24/12/2004 00:00,Pedro
66,67,67,27/01/2004 00:00,Industrial,Alquiler,Barcelona,219.0,948927.0,15/10/2004 00:00,Jesús
67,68,68,27/01/2004 00:00,Local,Alquiler,Barcelona,68.0,376992.0,28/06/2004 00:00,Luisa
68,69,69,27/01/2004 00:00,Local,Venta,Girona,248.0,2212408.0,09/10/2004 00:00,María
69,70,70,28/01/2004 00:00,Casa,Alquiler,Tarragona,179.0,1647695.0,12/07/2004 00:00,María
70,71,71,28/01/2004 00:00,Casa,Venta,Girona,235.0,1939925.0,01/11/2004 00:00,Carmen
71,72,72,28/01/2004 00:00,Suelo,Venta,Tarragona,216.0,1478952.0,15/10/2004 00:00,Carmen
72,73,73,28/01/2004 00:00,Parking,Alquiler,Barcelona,62.0,320044.0,04/09/2004 00:00,Joaquín
73,74,74,29/01/2004 00:00,Industrial,Venta,Girona,229.0,1098055.0,22/10/2004 00:00,Joaquín
74,75,75,29/01/2004 00:00,Suelo,Venta,Tarragona,41.0,187862.0,14/08/2004 00:00,Jesús
75,76,76,29/01/2004 00:00,Suelo,Alquiler,Tarragona,234.0,1757106.0,28/12/2004 00:00,Pedro
76,77,77,30/01/2004 00:00,Industrial,Alquiler,Tarragona,112.0,1104992.0,25/06/2004 00:00,Pedro
77,78,78,31/01/2004 00:00,Piso,Venta,Lleida,87.0,448485.0,04/10/2004 00:00,María
78,79,79,31/01/2004 00:00,Parking,Venta,Barcelona,298.0,2520484.0,27/11/2004 00:00,Carmen
79,80,80,31/01/2004 00:00,Parking,Alquiler,Barcelona,217.0,1339107.0,05/10/2004 00:00,Carmen
80,81,81,01/02/2004 00:00,Industrial,Alquiler,Barcelona,236.0,1812244.0,17/11/2004 00:00,Pedro
81,82,82,02/02/2004 00:00,Parking,Venta,Girona,117.0,1069731.0,14/09/2004 00:00,Pedro
82,83,83,02/02/2004 00:00,Suelo,Venta,Lleida,56.0,471072.0,29/05/2004 00:00,María
83,84,84,02/02/2004 00:00,Piso,Venta,Barcelona,94.0,470940.0,28/07/2004 00:00,Carmen
84,85,85,02/02/2004 00:00,Local,Alquiler,Barcelona,127.0,925322.0,03/06/2004 00:00,Joaquín
85,86,86,03/02/2004 00:00,Piso,Venta,Girona,275.0,2141700.0,08/01/2005 00:00,Jesús
86,87,87,03/02/2004 00:00,Industrial,Alquiler,Barcelona,93.0,778875.0,12/05/2004 00:00,Luisa
87,88,88,03/02/2004 00:00,Parking,Alquiler,Tarragona,58.0,421196.0,10/10/2004 00:00,Pedro
88,89,89,04/02/2004 00:00,Local,Alquiler,Barcelona,49.0,219716.0,27/09/2004 00:00,Jesús
89,90,90,04/02/2004 00:00,Suelo,Venta,Girona,292.0,2685816.0,24/07/2004 00:00,Pedro
90,91,91,04/02/2004 00:00,Industrial,Alquiler,Barcelona,123.0,723609.0,16/12/2004 00:00,Joaquín
91,92,92,05/02/2004 00:00,Piso,Alquiler,Barcelona,48.0,388032.0,06/05/2004 00:00,Jesús
92,93,93,05/02/2004 00:00,Industrial,Alquiler,Tarragona,132.0,922020.0,23/10/2004 00:00,Joaquín
93,94,94,06/02/2004 00:00,Industrial,Alquiler,Barcelona,177.0,965358.0,08/06/2004 00:00,Luisa
94,95,95,06/02/2004 00:00,Local,Venta,Barcelona,68.0,663816.0,23/05/2004 00:00,Joaquín
95,96,96,07/02/2004 00:00,Industrial,Alquiler,Tarragona,103.0,728931.0,05/02/2005 00:00,Jesús
96,97,97,07/02/2004 00:00,Suelo,Venta,Tarragona,96.0,625536.0,07/11/2004 00:00,Jesús
97,98,98,07/02/2004 00:00,Casa,Venta,Lleida,227.0,1467782.0,01/02/2005 00:00,Carmen
98,99,99,07/02/2004 00:00,Industrial,Alquiler,Girona,251.0,2067236.0,22/12/2004 00:00,María
99,100,100,08/02/2004 00:00,Local,Alquiler,Tarragona,125.0,531375.0,23/06/2004 00:00,Jesús
100,101,101,08/02/2004 00:00,Suelo,Alquiler,Girona,162.0,710694.0,27/09/2004 00:00,María
101,102,102,08/02/2004 00:00,Local,Venta,Barcelona,45.0,438435.0,23/05/2004 00:00,Luisa
102,103,103,08/02/2004 00:00,Casa,Alquiler,Girona,258.0,1188090.0,19/07/2004 00:00,María
103,104,104,09/02/2004 00:00,Oficina,Venta,Tarragona,104.0,699400.0,14/07/2004 00:00,Luisa
104,105,105,10/02/2004 00:00,Piso,Alquiler,Girona,238.0,1854496.0,02/02/2005 00:00,Luisa
105,106,106,10/02/2004 00:00,Piso,Alquiler,Lleida,300.0,2105700.0,26/01/2005 00:00,Pedro
106,107,107,10/02/2004 00:00,Suelo,Alquiler,Girona,222.0,1791318.0,13/12/2004 00:00,Jesús
107,108,108,12/02/2004 00:00,Suelo,Alquiler,Tarragona,187.0,1782297.0,20/12/2004 00:00,Joaquín
108,109,109,12/02/2004 00:00,Suelo,Alquiler,Barcelona,300.0,1528200.0,09/08/2004 00:00,Pedro
109,110,110,12/02/2004 00:00,Parking,Venta,Barcelona,206.0,1587642.0,20/12/2004 00:00,Luisa
110,111,111,13/02/2004 00:00,Suelo,Alquiler,Tarragona,162.0,954666.0,25/11/2004 00:00,Joaquín
111,112,112,13/02/2004 00:00,Local,Alquiler,Lleida,160.0,1064800.0,22/09/2004 00:00,Pedro
112,113,113,13/02/2004 00:00,Suelo,Alquiler,Barcelona,89.0,887241.0,02/01/2005 00:00,Luisa
113,114,114,14/02/2004 00:00,Suelo,Venta,Girona,103.0,806799.0,11/01/2005 00:00,Joaquín
114,115,115,14/02/2004 00:00,Industrial,Venta,Tarragona,54.0,438750.0,15/08/2004 00:00,Carmen
115,116,116,15/02/2004 00:00,Parking,Venta,Girona,103.0,973659.0,04/01/2005 00:00,Jesús
116,117,117,15/02/2004 00:00,Oficina,Venta,Girona,274.0,1724008.0,26/09/2004 00:00,Joaquín
117,118,118,15/02/2004 00:00,Oficina,Venta,Girona,253.0,2047276.0,10/09/2004 00:00,Luisa
118,119,119,16/02/2004 00:00,Parking,Venta,Lleida,51.0,307989.0,06/07/2004 00:00,Pedro
119,120,120,16/02/2004 00:00,Piso,Venta,Tarragona,174.0,973878.0,13/12/2004 00:00,Jesús
120,121,121,17/02/2004 00:00,Parking,Venta,Barcelona,152.0,688864.0,06/12/2004 00:00,Jesús
121,122,122,17/02/2004 00:00,Casa,Alquiler,Barcelona,270.0,1385910.0,05/02/2005 00:00,Pedro
122,123,123,17/02/2004 00:00,Local,Alquiler,Girona,179.0,1461356.0,30/07/2004 00:00,Pedro
123,124,124,18/02/2004 00:00,Suelo,Alquiler,Tarragona,212.0,926228.0,05/09/2004 00:00,Joaquín
124,125,125,19/02/2004 00:00,Industrial,Venta,Girona,118.0,1067192.0,25/08/2004 00:00,Carmen
125,126,126,19/02/2004 00:00,Industrial,Venta,Tarragona,194.0,1373132.0,31/08/2004 00:00,María
126,127,127,20/02/2004 00:00,Industrial,Venta,Barcelona,139.0,1087119.0,29/05/2004 00:00,Jesús
127,128,128,20/02/2004 00:00,Casa,Venta,Tarragona,130.0,1230190.0,04/01/2005 00:00,Luisa
128,129,129,21/02/2004 00:00,Parking,Alquiler,Lleida,206.0,1363926.0,08/01/2005 00:00,Carmen
129,130,130,21/02/2004 00:00,Oficina,Venta,Tarragona,216.0,1389096.0,23/11/2004 00:00,Luisa
130,131,131,21/02/2004 00:00,Local,Venta,Lleida,55.0,477345.0,04/09/2004 00:00,Carmen
131,132,132,21/02/2004 00:00,Oficina,Venta,Tarragona,190.0,1268630.0,04/12/2004 00:00,Jesús
132,133,133,22/02/2004 00:00,Suelo,Alquiler,Tarragona,62.0,391964.0,14/11/2004 00:00,Pedro
133,134,134,22/02/2004 00:00,Oficina,Alquiler,Tarragona,275.0,1765225.0,20/02/2005 00:00,Joaquín
134,135,135,22/02/2004 00:00,Local,Venta,Lleida,45.0,229455.0,05/10/2004 00:00,Jesús
135,136,136,23/02/2004 00:00,Oficina,Alquiler,Lleida,105.0,624435.0,24/06/2004 00:00,Joaquín
136,137,137,23/02/2004 00:00,Casa,Venta,Barcelona,119.0,686154.0,19/01/2005 00:00,Pedro
137,138,138,24/02/2004 00:00,Industrial,Venta,Girona,88.0,678480.0,28/12/2004 00:00,Luisa
138,139,139,26/02/2004 00:00,Local,Alquiler,Tarragona,63.0,533925.0,22/09/2004 00:00,Joaquín
139,140,140,26/02/2004 00:00,Piso,Venta,Barcelona,222.0,1076034.0,02/06/2004 00:00,María
140,141,141,27/02/2004 00:00,Suelo,Venta,Barcelona,47.0,455477.0,31/12/2004 00:00,Joaquín
141,142,142,27/02/2004 00:00,Oficina,Venta,Tarragona,123.0,1128156.0,23/09/2004 00:00,Pedro
142,143,143,27/02/2004 00:00,Oficina,Alquiler,Tarragona,134.0,1310520.0,28/12/2004 00:00,María
143,144,144,28/02/2004 00:00,Parking,Alquiler,Barcelona,121.0,782870.0,19/11/2004 00:00,Pedro
144,145,145,28/02/2004 00:00,Piso,Venta,Girona,50.0,315550.0,14/10/2004 00:00,Pedro
145,146,146,28/02/2004 00:00,Parking,Venta,Girona,274.0,2028970.0,20/08/2004 00:00,Luisa
146,147,147,28/02/2004 00:00,Parking,Alquiler,Barcelona,76.0,734388.0,28/05/2004 00:00,Joaquín
147,148,148,28/02/2004 00:00,Local,Venta,Barcelona,109.0,779241.0,30/05/2004 00:00,María
148,149,149,29/02/2004 00:00,Piso,Venta,Lleida,249.0,1492506.0,12/02/2005 00:00,Luisa
149,150,150,01/03/2004 00:00,Casa,Alquiler,Lleida,212.0,1800516.0,19/12/2004 00:00,Jesús
150,151,151,01/03/2004 00:00,Oficina,Alquiler,Lleida,128.0,1259904.0,02/10/2004 00:00,Luisa
151,152,152,02/03/2004 00:00,Oficina,Venta,Tarragona,172.0,1063648.0,13/02/2005 00:00,María
152,153,153,02/03/2004 00:00,Piso,Venta,Lleida,68.0,434656.0,13/07/2004 00:00,María
153,154,154,02/03/2004 00:00,Industrial,Alquiler,Lleida,52.0,508924.0,03/09/2004 00:00,Pedro
154,155,155,03/03/2004 00:00,Suelo,Alquiler,Girona,185.0,1403595.0,02/10/2004 00:00,Pedro
155,156,156,03/03/2004 00:00,Casa,Venta,Girona,284.0,1561432.0,01/07/2004 00:00,Pedro
156,157,157,03/03/2004 00:00,Oficina,Venta,Tarragona,202.0,1891932.0,02/10/2004 00:00,María
157,158,158,03/03/2004 00:00,Casa,Alquiler,Lleida,100.0,731700.0,10/10/2004 00:00,Luisa
158,159,159,04/03/2004 00:00,Local,Venta,Lleida,106.0,563178.0,01/08/2004 00:00,Pedro
159,160,160,04/03/2004 00:00,Casa,Venta,Tarragona,211.0,875228.0,23/07/2004 00:00,María
160,161,161,04/03/2004 00:00,Suelo,Venta,Tarragona,165.0,1305480.0,29/07/2004 00:00,Jesús
161,162,162,05/03/2004 00:00,Piso,Alquiler,Lleida,251.0,1361675.0,16/08/2004 00:00,Jesús
162,163,163,05/03/2004 00:00,Local,Venta,Tarragona,266.0,1161090.0,23/11/2004 00:00,Carmen
163,164,164,05/03/2004 00:00,Oficina,Alquiler,Girona,287.0,1395681.0,13/09/2004 00:00,Carmen
164,165,165,05/03/2004 00:00,Industrial,Venta,Tarragona,104.0,1001104.0,11/10/2004 00:00,Luisa
165,166,166,06/03/2004 00:00,Oficina,Venta,Tarragona,250.0,2275500.0,29/07/2004 00:00,Luisa
166,167,167,06/03/2004 00:00,Parking,Venta,Girona,169.0,1370759.0,14/01/2005 00:00,Luisa
167,168,168,06/03/2004 00:00,Suelo,Venta,Lleida,221.0,1842035.0,15/10/2004 00:00,Joaquín
168,169,169,07/03/2004 00:00,Industrial,Alquiler,Barcelona,286.0,2080078.0,14/07/2004 00:00,Jesús
169,170,170,08/03/2004 00:00,Suelo,Alquiler,Lleida,73.0,597286.0,20/02/2005 00:00,Joaquín
170,171,171,08/03/2004 00:00,Suelo,Venta,Girona,144.0,1358640.0,13/11/2004 00:00,Joaquín
171,172,172,08/03/2004 00:00,Piso,Alquiler,Tarragona,108.0,558252.0,19/10/2004 00:00,María
172,173,173,09/03/2004 00:00,Oficina,Venta,Girona,268.0,2400476.0,08/03/2005 00:00,Joaquín
173,174,174,09/03/2004 00:00,Piso,Alquiler,Lleida,143.0,1131416.0,25/08/2004 00:00,Joaquín
174,175,175,10/03/2004 00:00,Local,Venta,Barcelona,52.0,416936.0,25/08/2004 00:00,Carmen
175,176,176,10/03/2004 00:00,Industrial,Alquiler,Lleida,193.0,1658835.0,30/08/2004 00:00,Jesús
176,177,177,11/03/2004 00:00,Suelo,Venta,Tarragona,148.0,1431012.0,01/09/2004 00:00,Jesús
177,178,178,11/03/2004 00:00,Local,Venta,Tarragona,118.0,513300.0,26/10/2004 00:00,María
178,179,179,12/03/2004 00:00,Industrial,Venta,Barcelona,156.0,848328.0,27/02/2005 00:00,Jesús
179,180,180,12/03/2004 00:00,Suelo,Alquiler,Tarragona,201.0,1874928.0,21/06/2004 00:00,Jesús
180,181,181,12/03/2004 00:00,Oficina,Venta,Tarragona,42.0,367584.0,11/08/2004 00:00,Joaquín
181,182,182,13/03/2004 00:00,Local,Alquiler,Tarragona,162.0,1323054.0,25/08/2004 00:00,Joaquín
182,183,183,14/03/2004 00:00,Local,Alquiler,Girona,231.0,1446522.0,02/09/2004 00:00,Carmen
183,184,184,14/03/2004 00:00,Suelo,Venta,Tarragona,273.0,1447992.0,24/10/2004 00:00,Pedro
184,185,185,15/03/2004 00:00,Industrial,Venta,Barcelona,265.0,2109930.0,27/08/2004 00:00,María
185,186,186,16/03/2004 00:00,Casa,Alquiler,Girona,87.0,779868.0,23/10/2004 00:00,Jesús
186,187,187,16/03/2004 00:00,Local,Alquiler,Barcelona,95.0,919030.0,10/12/2004 00:00,María
187,188,188,16/03/2004 00:00,Casa,Venta,Lleida,63.0,537264.0,08/02/2005 00:00,Carmen
188,189,189,17/03/2004 00:00,Parking,Venta,Girona,160.0,1261600.0,25/10/2004 00:00,Jesús
189,190,190,17/03/2004 00:00,Parking,Alquiler,Lleida,95.0,448210.0,25/10/2004 00:00,Pedro
190,191,191,18/03/2004 00:00,Suelo,Alquiler,Tarragona,71.0,431325.0,23/07/2004 00:00,Carmen
191,192,192,18/03/2004 00:00,Local,Venta,Girona,56.0,553616.0,09/03/2005 00:00,Pedro
192,193,193,18/03/2004 00:00,Suelo,Venta,Tarragona,59.0,453651.0,07/10/2004 00:00,María
193,194,194,19/03/2004 00:00,Local,Alquiler,Girona,117.0,986895.0,14/09/2004 00:00,Pedro
194,195,195,19/03/2004 00:00,Piso,Venta,Girona,62.0,250852.0,21/07/2004 00:00,Carmen
195,196,196,20/03/2004 00:00,Piso,Alquiler,Barcelona,281.0,1336717.0,10/11/2004 00:00,Carmen
196,197,197,20/03/2004 00:00,Piso,Venta,Tarragona,87.0,519738.0,13/01/2005 00:00,Carmen
197,198,198,21/03/2004 00:00,Oficina,Alquiler,Girona,174.0,720882.0,14/08/2004 00:00,Pedro
198,199,199,21/03/2004 00:00,Oficina,Venta,Lleida,177.0,842343.0,10/03/2005 00:00,María
199,200,200,22/03/2004 00:00,Parking,Venta,Tarragona,281.0,2108343.0,26/09/2004 00:00,Pedro
200,201,201,22/03/2004 00:00,Parking,Venta,Girona,247.0,1050985.0,09/11/2004 00:00,Pedro
201,202,202,22/03/2004 00:00,Piso,Alquiler,Girona,52.0,298272.0,13/08/2004 00:00,María
202,203,203,22/03/2004 00:00,Local,Alquiler,Girona,169.0,902798.0,16/07/2004 00:00,Luisa
203,204,204,23/03/2004 00:00,Local,Alquiler,Barcelona,106.0,692180.0,09/11/2004 00:00,Luisa
204,205,205,23/03/2004 00:00,Local,Venta,Girona,274.0,2002392.0,04/12/2004 00:00,Luisa
205,206,206,23/03/2004 00:00,Piso,Alquiler,Lleida,250.0,2253500.0,21/02/2005 00:00,Joaquín
206,207,207,23/03/2004 00:00,Piso,Alquiler,Lleida,134.0,1338124.0,19/08/2004 00:00,Luisa
207,208,208,23/03/2004 00:00,Casa,Venta,Lleida,156.0,1369680.0,27/09/2004 00:00,Pedro
208,209,209,24/03/2004 00:00,Parking,Venta,Lleida,167.0,1643948.0,21/09/2004 00:00,María
209,210,210,24/03/2004 00:00,Oficina,Alquiler,Lleida,206.0,1297594.0,03/03/2005 00:00,Carmen
210,211,211,25/03/2004 00:00,Parking,Alquiler,Barcelona,269.0,2134246.0,11/08/2004 00:00,Carmen
211,212,212,25/03/2004 00:00,Casa,Alquiler,Barcelona,63.0,492156.0,25/10/2004 00:00,Carmen
212,213,213,26/03/2004 00:00,Suelo,Alquiler,Lleida,223.0,1932518.0,19/01/2005 00:00,Pedro
213,214,214,26/03/2004 00:00,Industrial,Venta,Girona,163.0,1385011.0,26/08/2004 00:00,Carmen
214,215,215,27/03/2004 00:00,Parking,Alquiler,Girona,214.0,1219158.0,13/07/2004 00:00,Pedro
215,216,216,27/03/2004 00:00,Industrial,Venta,Tarragona,263.0,1494892.0,02/02/2005 00:00,María
216,217,217,28/03/2004 00:00,Industrial,Alquiler,Lleida,216.0,1398600.0,03/11/2004 00:00,Luisa
217,218,218,29/03/2004 00:00,Suelo,Alquiler,Tarragona,65.0,461435.0,31/12/2004 00:00,Carmen
218,219,219,29/03/2004 00:00,Industrial,Alquiler,Girona,46.0,351256.0,28/03/2005 00:00,Luisa
219,220,220,30/03/2004 00:00,Industrial,Alquiler,Lleida,209.0,1042283.0,17/09/2004 00:00,Jesús
220,221,221,30/03/2004 00:00,Casa,Alquiler,Barcelona,56.0,474600.0,27/08/2004 00:00,Pedro
221,222,222,30/03/2004 00:00,Local,Alquiler,Girona,82.0,420660.0,02/10/2004 00:00,María
222,223,223,31/03/2004 00:00,Suelo,Alquiler,Girona,62.0,489924.0,09/09/2004 00:00,Luisa
223,224,224,31/03/2004 00:00,Oficina,Venta,Tarragona,192.0,1032000.0,21/08/2004 00:00,Luisa
224,225,225,01/04/2004 00:00,Parking,Alquiler,Barcelona,152.0,1069320.0,15/12/2004 00:00,Jesús
225,226,226,01/04/2004 00:00,Local,Alquiler,Tarragona,182.0,1133132.0,29/08/2004 00:00,Joaquín
226,227,227,01/04/2004 00:00,Casa,Venta,Lleida,179.0,1670965.0,09/09/2004 00:00,Luisa
227,228,228,01/04/2004 00:00,Local,Venta,Girona,211.0,2010619.0,12/11/2004 00:00,Jesús
228,229,229,01/04/2004 00:00,Oficina,Venta,Tarragona,117.0,739206.0,25/01/2005 00:00,Carmen
229,230,230,02/04/2004 00:00,Oficina,Alquiler,Tarragona,186.0,1382166.0,01/03/2005 00:00,Pedro
230,231,231,03/04/2004 00:00,Local,Alquiler,Barcelona,143.0,665951.0,18/02/2005 00:00,Pedro
231,232,232,03/04/2004 00:00,Oficina,Venta,Tarragona,212.0,1479548.0,03/11/2004 00:00,María
232,233,233,03/04/2004 00:00,Local,Alquiler,Girona,246.0,1362348.0,05/10/2004 00:00,Joaquín
233,234,234,03/04/2004 00:00,Suelo,Venta,Girona,230.0,1722700.0,26/03/2005 00:00,Carmen
234,235,235,03/04/2004 00:00,Suelo,Venta,Lleida,126.0,848358.0,02/11/2004 00:00,Pedro
235,236,236,03/04/2004 00:00,Industrial,Venta,Girona,226.0,2104286.0,26/08/2004 00:00,Carmen
236,237,237,05/04/2004 00:00,Piso,Venta,Tarragona,262.0,1748850.0,07/10/2004 00:00,Pedro
237,238,238,05/04/2004 00:00,Casa,Alquiler,Barcelona,170.0,995520.0,01/02/2005 00:00,Jesús
238,239,239,05/04/2004 00:00,Piso,Alquiler,Lleida,268.0,2338032.0,02/01/2005 00:00,Pedro
239,240,240,06/04/2004 00:00,Parking,Venta,Barcelona,164.0,1298716.0,03/12/2004 00:00,Luisa
240,241,241,06/04/2004 00:00,Local,Venta,Lleida,260.0,2038660.0,26/07/2004 00:00,Carmen
241,242,242,07/04/2004 00:00,Suelo,Venta,Barcelona,69.0,656535.0,16/08/2004 00:00,Jesús
242,243,243,07/04/2004 00:00,Local,Venta,Lleida,298.0,1870546.0,31/03/2005 00:00,Luisa
243,244,244,07/04/2004 00:00,Local,Alquiler,Tarragona,284.0,1431076.0,22/12/2004 00:00,María
