0,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
53,53,22/01/2004 00:00,Suelo,Alquiler,Tarragona,158,1438748,17/10/2004 00:00,Carmen
54,54,22/01/2004 00:00,Suelo,Alquiler,Barcelona,71,686996,30/05/2004 00:00,Luisa
55,55,22/01/2004 00:00,Local,Venta,Girona,127,983234,09/07/2004 00:00,Carmen
56,56,23/01/2004 00:00,Piso,Venta,Lleida,54,239220,01/05/2004 00:00,María
57,57,23/01/2004 00:00,Oficina,Alquiler,Lleida,54,512730,04/07/2004 00:00,Carmen
58,58,24/01/2004 00:00,Local,Alquiler,Girona,274,2287626,21/12/2004 00:00,María
59,59,24/01/2004 00:00,Industrial,Venta,Tarragona,166,1373816,19/11/2004 00:00,Joaquín
60,60,24/01/2004 00:00,Oficina,Alquiler,Lleida,270,1920240,28/06/2004 00:00,Jesús
61,61,24/01/2004 00:00,Casa,Venta,Tarragona,120,1140840,12/09/2004 00:00,Carmen
62,62,24/01/2004 00:00,Industrial,Venta,Tarragona,178,1142938,23/01/2005 00:00,Joaquín
63,63,25/01/2004 00:00,Piso,Venta,Barcelona,144,738144,06/09/2004 00:00,Luisa
64,64,26/01/2004 00:00,Industrial,Venta,Lleida,57,509010,13/10/2004 00:00,María
65,65,26/01/2004 00:00,Oficina,Venta,Tarragona,144,1436832,26/05/2004 00:00,Luisa
66,66,27/01/2004 00:00,Suelo,Venta,Lleida,272,2119424,24/12/2004 00:00,Pedro
67,67,27/01/2004 00:00,Industrial,Alquiler,Barcelona,219,948927,15/10/2004 00:00,Jesús
68,68,27/01/2004 00:00,Local,Alquiler,Barcelona,68,376992,28/06/2004 00:00,Luisa
69,69,27/01/2004 00:00,Local,Venta,Girona,248,2212408,09/10/2004 00:00,María
70,70,28/01/2004 00:00,Casa,Alquiler,Tarragona,179,1647695,12/07/2004 00:00,María
71,71,28/01/2004 00:00,Casa,Venta,Girona,235,1939925,01/11/2004 00:00,Carmen
72,72,28/01/2004 00:00,Suelo,Venta,Tarragona,216,1478952,15/10/2004 00:00,Carmen
73,73,28/01/2004 00:00,Parking,Alquiler,Barcelona,62,320044,04/09/2004 00:00,Joaquín
74,74,29/01/2004 00:00,Industrial,Venta,Girona,229,1098055,22/10/2004 00:00,Joaquín
75,75,29/01/2004 00:00,Suelo,Venta,Tarragona,41,187862,14/08/2004 00:00,Jesús
76,76,29/01/2004 00:00,Suelo,Alquiler,Tarragona,234,1757106,28/12/2004 00:00,Pedro
77,77,30/01/2004 00:00,Industrial,Alquiler,Tarragona,112,1104992,25/06/2004 00:00,Pedro
78,78,31/01/2004 00:00,Piso,Venta,Lleida,87,448485,04/10/2004 00:00,María
79,79,31/01/2004 00:00,Parking,Venta,Barcelona,298,2520484,27/11/2004 00:00,Carmen
80,80,31/01/2004 00:00,Parking,Alquiler,Barcelona,217,1339107,05/10/2004 00:00,Carmen
81,81,01/02/2004 00:00,Industrial,Alquiler,Barcelona,236,1812244,17/11/2004 00:00,Pedro
82,82,02/02/2004 00:00,Parking,Venta,Girona,117,1069731,14/09/2004 00:00,Pedro
83,83,02/02/2004 00:00,Suelo,Venta,Lleida,56,471072,29/05/2004 00:00,María
84,84,02/02/2004 00:00,Piso,Venta,Barcelona,94,470940,28/07/2004 00:00,Carmen
85,85,02/02/2004 00:00,Local,Alquiler,Barcelona,127,925322,03/06/2004 00:00,Joaquín
86,86,03/02/2004 00:00,Piso,Venta,Girona,275,2141700,08/01/2005 00:00,Jesús
87,87,03/02/2004 00:00,Industrial,Alquiler,Barcelona,93,778875,12/05/2004 00:00,Luisa
88,88,03/02/2004 00:00,Parking,Alquiler,Tarragona,58,421196,10/10/2004 00:00,Pedro
89,89,04/02/2004 00:00,Local,Alquiler,Barcelona,49,219716,27/09/2004 00:00,Jesús
90,90,04/02/2004 00:00,Suelo,Venta,Girona,292,2685816,24/07/2004 00:00,Pedro
91,91,04/02/2004 00:00,Industrial,Alquiler,Barcelona,123,723609,16/12/2004 00:00,Joaquín
92,92,05/02/2004 00:00,Piso,Alquiler,Barcelona,48,388032,06/05/2004 00:00,Jesús
93,93,05/02/2004 00:00,Industrial,Alquiler,Tarragona,132,922020,23/10/2004 00:00,Joaquín
94,94,06/02/2004 00:00,Industrial,Alquiler,Barcelona,177,965358,08/06/2004 00:00,Luisa
95,95,06/02/2004 00:00,Local,Venta,Barcelona,68,663816,23/05/2004 00:00,Joaquín
96,96,07/02/2004 00:00,Industrial,Alquiler,Tarragona,103,728931,05/02/2005 00:00,Jesús
97,97,07/02/2004 00:00,Suelo,Venta,Tarragona,96,625536,07/11/2004 00:00,Jesús
98,98,07/02/2004 00:00,Casa,Venta,Lleida,227,1467782,01/02/2005 00:00,Carmen
99,99,07/02/2004 00:00,Industrial,Alquiler,Girona,251,2067236,22/12/2004 00:00,María
100,100,08/02/2004 00:00,Local,Alquiler,Tarragona,125,531375,23/06/2004 00:00,Jesús
101,101,08/02/2004 00:00,Suelo,Alquiler,Girona,162,710694,27/09/2004 00:00,María
102,102,08/02/2004 00:00,Local,Venta,Barcelona,45,438435,23/05/2004 00:00,Luisa
103,103,08/02/2004 00:00,Casa,Alquiler,Girona,258,1188090,19/07/2004 00:00,María
104,104,09/02/2004 00:00,Oficina,Venta,Tarragona,104,699400,14/07/2004 00:00,Luisa
105,105,10/02/2004 00:00,Piso,Alquiler,Girona,238,1854496,02/02/2005 00:00,Luisa
106,106,10/02/2004 00:00,Piso,Alquiler,Lleida,300,2105700,26/01/2005 00:00,Pedro
107,107,10/02/2004 00:00,Suelo,Alquiler,Girona,222,1791318,13/12/2004 00:00,Jesús
108,108,12/02/2004 00:00,Suelo,Alquiler,Tarragona,187,1782297,20/12/2004 00:00,Joaquín
109,109,12/02/2004 00:00,Suelo,Alquiler,Barcelona,300,1528200,09/08/2004 00:00,Pedro
110,110,12/02/2004 00:00,Parking,Venta,Barcelona,206,1587642,20/12/2004 00:00,Luisa
111,111,13/02/2004 00:00,Suelo,Alquiler,Tarragona,162,954666,25/11/2004 00:00,Joaquín
112,112,13/02/2004 00:00,Local,Alquiler,Lleida,160,1064800,22/09/2004 00:00,Pedro
113,113,13/02/2004 00:00,Suelo,Alquiler,Barcelona,89,887241,02/01/2005 00:00,Luisa
114,114,14/02/2004 00:00,Suelo,Venta,Girona,103,806799,11/01/2005 00:00,Joaquín
115,115,14/02/2004 00:00,Industrial,Venta,Tarragona,54,438750,15/08/2004 00:00,Carmen
116,116,15/02/2004 00:00,Parking,Venta,Girona,103,973659,04/01/2005 00:00,Jesús
117,117,15/02/2004 00:00,Oficina,Venta,Girona,274,1724008,26/09/2004 00:00,Joaquín
118,118,15/02/2004 00:00,Oficina,Venta,Girona,253,2047276,10/09/2004 00:00,Luisa
119,119,16/02/2004 00:00,Parking,Venta,Lleida,51,307989,06/07/2004 00:00,Pedro
120,120,16/02/2004 00:00,Piso,Venta,Tarragona,174,973878,13/12/2004 00:00,Jesús
121,121,17/02/2004 00:00,Parking,Venta,Barcelona,152,688864,06/12/2004 00:00,Jesús
122,122,17/02/2004 00:00,Casa,Alquiler,Barcelona,270,1385910,05/02/2005 00:00,Pedro
123,123,17/02/2004 00:00,Local,Alquiler,Girona,179,1461356,30/07/2004 00:00,Pedro
124,124,18/02/2004 00:00,Suelo,Alquiler,Tarragona,212,926228,05/09/2004 00:00,Joaquín
125,125,19/02/2004 00:00,Industrial,Venta,Girona,118,1067192,25/08/2004 00:00,Carmen
126,126,19/02/2004 00:00,Industrial,Venta,Tarragona,194,1373132,31/08/2004 00:00,María
127,127,20/02/2004 00:00,Industrial,Venta,Barcelona,139,1087119,29/05/2004 00:00,Jesús
128,128,20/02/2004 00:00,Casa,Venta,Tarragona,130,1230190,04/01/2005 00:00,Luisa
129,129,21/02/2004 00:00,Parking,Alquiler,Lleida,206,1363926,08/01/2005 00:00,Carmen
130,130,21/02/2004 00:00,Oficina,Venta,Tarragona,216,1389096,23/11/2004 00:00,Luisa
131,131,21/02/2004 00:00,Local,Venta,Lleida,55,477345,04/09/2004 00:00,Carmen
132,132,21/02/2004 00:00,Oficina,Venta,Tarragona,190,1268630,04/12/2004 00:00,Jesús
133,133,22/02/2004 00:00,Suelo,Alquiler,Tarragona,62,391964,14/11/2004 00:00,Pedro
134,134,22/02/2004 00:00,Oficina,Alquiler,Tarragona,275,1765225,20/02/2005 00:00,Joaquín
135,135,22/02/2004 00:00,Local,Venta,Lleida,45,229455,05/10/2004 00:00,Jesús
136,136,23/02/2004 00:00,Oficina,Alquiler,Lleida,105,624435,24/06/2004 00:00,Joaquín
137,137,23/02/2004 00:00,Casa,Venta,Barcelona,119,686154,19/01/2005 00:00,Pedro
138,138,24/02/2004 00:00,Industrial,Venta,Girona,88,678480,28/12/2004 00:00,Luisa
139,139,26/02/2004 00:00,Local,Alquiler,Tarragona,63,533925,22/09/2004 00:00,Joaquín
140,140,26/02/2004 00:00,Piso,Venta,Barcelona,222,1076034,02/06/2004 00:00,María
141,141,27/02/2004 00:00,Suelo,Venta,Barcelona,47,455477,31/12/2004 00:00,Joaquín
142,142,27/02/2004 00:00,Oficina,Venta,Tarragona,123,1128156,23/09/2004 00:00,Pedro
143,143,27/02/2004 00:00,Oficina,Alquiler,Tarragona,134,1310520,28/12/2004 00:00,María
144,144,28/02/2004 00:00,Parking,Alquiler,Barcelona,121,782870,19/11/2004 00:00,Pedro
145,145,28/02/2004 00:00,Piso,Venta,Girona,50,315550,14/10/2004 00:00,Pedro
146,146,28/02/2004 00:00,Parking,Venta,Girona,274,2028970,20/08/2004 00:00,Luisa
147,147,28/02/2004 00:00,Parking,Alquiler,Barcelona,76,734388,28/05/2004 00:00,Joaquín
148,148,28/02/2004 00:00,Local,Venta,Barcelona,109,779241,30/05/2004 00:00,María
149,149,29/02/2004 00:00,Piso,Venta,Lleida,249,1492506,12/02/2005 00:00,Luisa
150,150,01/03/2004 00:00,Casa,Alquiler,Lleida,212,1800516,19/12/2004 00:00,Jesús
151,151,01/03/2004 00:00,Oficina,Alquiler,Lleida,128,1259904,02/10/2004 00:00,Luisa
152,152,02/03/2004 00:00,Oficina,Venta,Tarragona,172,1063648,13/02/2005 00:00,María
153,153,02/03/2004 00:00,Piso,Venta,Lleida,68,434656,13/07/2004 00:00,María
154,154,02/03/2004 00:00,Industrial,Alquiler,Lleida,52,508924,03/09/2004 00:00,Pedro
155,155,03/03/2004 00:00,Suelo,Alquiler,Girona,185,1403595,02/10/2004 00:00,Pedro
156,156,03/03/2004 00:00,Casa,Venta,Girona,284,1561432,01/07/2004 00:00,Pedro
157,157,03/03/2004 00:00,Oficina,Venta,Tarragona,202,1891932,02/10/2004 00:00,María
158,158,03/03/2004 00:00,Casa,Alquiler,Lleida,100,731700,10/10/2004 00:00,Luisa
159,159,04/03/2004 00:00,Local,Venta,Lleida,106,563178,01/08/2004 00:00,Pedro
160,160,04/03/2004 00:00,Casa,Venta,Tarragona,211,875228,23/07/2004 00:00,María
161,161,04/03/2004 00:00,Suelo,Venta,Tarragona,165,1305480,29/07/2004 00:00,Jesús
162,162,05/03/2004 00:00,Piso,Alquiler,Lleida,251,1361675,16/08/2004 00:00,Jesús
163,163,05/03/2004 00:00,Local,Venta,Tarragona,266,1161090,23/11/2004 00:00,Carmen
164,164,05/03/2004 00:00,Oficina,Alquiler,Girona,287,1395681,13/09/2004 00:00,Carmen
165,165,05/03/2004 00:00,Industrial,Venta,Tarragona,104,1001104,11/10/2004 00:00,Luisa
166,166,06/03/2004 00:00,Oficina,Venta,Tarragona,250,2275500,29/07/2004 00:00,Luisa
167,167,06/03/2004 00:00,Parking,Venta,Girona,169,1370759,14/01/2005 00:00,Luisa
168,168,06/03/2004 00:00,Suelo,Venta,Lleida,221,1842035,15/10/2004 00:00,Joaquín
169,169,07/03/2004 00:00,Industrial,Alquiler,Barcelona,286,2080078,14/07/2004 00:00,Jesús
170,170,08/03/2004 00:00,Suelo,Alquiler,Lleida,73,597286,20/02/2005 00:00,Joaquín
171,171,08/03/2004 00:00,Suelo,Venta,Girona,144,1358640,13/11/2004 00:00,Joaquín
172,172,08/03/2004 00:00,Piso,Alquiler,Tarragona,108,558252,19/10/2004 00:00,María
173,173,09/03/2004 00:00,Oficina,Venta,Girona,268,2400476,08/03/2005 00:00,Joaquín
174,174,09/03/2004 00:00,Piso,Alquiler,Lleida,143,1131416,25/08/2004 00:00,Joaquín
175,175,10/03/2004 00:00,Local,Venta,Barcelona,52,416936,25/08/2004 00:00,Carmen
176,176,10/03/2004 00:00,Industrial,Alquiler,Lleida,193,1658835,30/08/2004 00:00,Jesús
177,177,11/03/2004 00:00,Suelo,Venta,Tarragona,148,1431012,01/09/2004 00:00,Jesús
178,178,11/03/2004 00:00,Local,Venta,Tarragona,118,513300,26/10/2004 00:00,María
179,179,12/03/2004 00:00,Industrial,Venta,Barcelona,156,848328,27/02/2005 00:00,Jesús
180,180,12/03/2004 00:00,Suelo,Alquiler,Tarragona,201,1874928,21/06/2004 00:00,Jesús
181,181,12/03/2004 00:00,Oficina,Venta,Tarragona,42,367584,11/08/2004 00:00,Joaquín
182,182,13/03/2004 00:00,Local,Alquiler,Tarragona,162,1323054,25/08/2004 00:00,Joaquín
183,183,14/03/2004 00:00,Local,Alquiler,Girona,231,1446522,02/09/2004 00:00,Carmen
184,184,14/03/2004 00:00,Suelo,Venta,Tarragona,273,1447992,24/10/2004 00:00,Pedro
185,185,15/03/2004 00:00,Industrial,Venta,Barcelona,265,2109930,27/08/2004 00:00,María
186,186,16/03/2004 00:00,Casa,Alquiler,Girona,87,779868,23/10/2004 00:00,Jesús
187,187,16/03/2004 00:00,Local,Alquiler,Barcelona,95,919030,10/12/2004 00:00,María
188,188,16/03/2004 00:00,Casa,Venta,Lleida,63,537264,08/02/2005 00:00,Carmen
189,189,17/03/2004 00:00,Parking,Venta,Girona,160,1261600,25/10/2004 00:00,Jesús
190,190,17/03/2004 00:00,Parking,Alquiler,Lleida,95,448210,25/10/2004 00:00,Pedro
191,191,18/03/2004 00:00,Suelo,Alquiler,Tarragona,71,431325,23/07/2004 00:00,Carmen
192,192,18/03/2004 00:00,Local,Venta,Girona,56,553616,09/03/2005 00:00,Pedro
193,193,18/03/2004 00:00,Suelo,Venta,Tarragona,59,453651,07/10/2004 00:00,María
194,194,19/03/2004 00:00,Local,Alquiler,Girona,117,986895,14/09/2004 00:00,Pedro
195,195,19/03/2004 00:00,Piso,Venta,Girona,62,250852,21/07/2004 00:00,Carmen
196,196,20/03/2004 00:00,Piso,Alquiler,Barcelona,281,1336717,10/11/2004 00:00,Carmen
197,197,20/03/2004 00:00,Piso,Venta,Tarragona,87,519738,13/01/2005 00:00,Carmen
198,198,21/03/2004 00:00,Oficina,Alquiler,Girona,174,720882,14/08/2004 00:00,Pedro
199,199,21/03/2004 00:00,Oficina,Venta,Lleida,177,842343,10/03/2005 00:00,María
200,200,22/03/2004 00:00,Parking,Venta,Tarragona,281,2108343,26/09/2004 00:00,Pedro
201,201,22/03/2004 00:00,Parking,Venta,Girona,247,1050985,09/11/2004 00:00,Pedro
202,202,22/03/2004 00:00,Piso,Alquiler,Girona,52,298272,13/08/2004 00:00,María
203,203,22/03/2004 00:00,Local,Alquiler,Girona,169,902798,16/07/2004 00:00,Luisa
204,204,23/03/2004 00:00,Local,Alquiler,Barcelona,106,692180,09/11/2004 00:00,Luisa
205,205,23/03/2004 00:00,Local,Venta,Girona,274,2002392,04/12/2004 00:00,Luisa
206,206,23/03/2004 00:00,Piso,Alquiler,Lleida,250,2253500,21/02/2005 00:00,Joaquín
207,207,23/03/2004 00:00,Piso,Alquiler,Lleida,134,1338124,19/08/2004 00:00,Luisa
208,208,23/03/2004 00:00,Casa,Venta,Lleida,156,1369680,27/09/2004 00:00,Pedro
209,209,24/03/2004 00:00,Parking,Venta,Lleida,167,1643948,21/09/2004 00:00,María
210,210,24/03/2004 00:00,Oficina,Alquiler,Lleida,206,1297594,03/03/2005 00:00,Carmen
211,211,25/03/2004 00:00,Parking,Alquiler,Barcelona,269,2134246,11/08/2004 00:00,Carmen
212,212,25/03/2004 00:00,Casa,Alquiler,Barcelona,63,492156,25/10/2004 00:00,Carmen
213,213,26/03/2004 00:00,Suelo,Alquiler,Lleida,223,1932518,19/01/2005 00:00,Pedro
214,214,26/03/2004 00:00,Industrial,Venta,Girona,163,1385011,26/08/2004 00:00,Carmen
215,215,27/03/2004 00:00,Parking,Alquiler,Girona,214,1219158,13/07/2004 00:00,Pedro
216,216,27/03/2004 00:00,Industrial,Venta,Tarragona,263,1494892,02/02/2005 00:00,María
217,217,28/03/2004 00:00,Industrial,Alquiler,Lleida,216,1398600,03/11/2004 00:00,Luisa
218,218,29/03/2004 00:00,Suelo,Alquiler,Tarragona,65,461435,31/12/2004 00:00,Carmen
219,219,29/03/2004 00:00,Industrial,Alquiler,Girona,46,351256,28/03/2005 00:00,Luisa
220,220,30/03/2004 00:00,Industrial,Alquiler,Lleida,209,1042283,17/09/2004 00:00,Jesús
221,221,30/03/2004 00:00,Casa,Alquiler,Barcelona,56,474600,27/08/2004 00:00,Pedro
222,222,30/03/2004 00:00,Local,Alquiler,Girona,82,420660,02/10/2004 00:00,María
223,223,31/03/2004 00:00,Suelo,Alquiler,Girona,62,489924,09/09/2004 00:00,Luisa
224,224,31/03/2004 00:00,Oficina,Venta,Tarragona,192,1032000,21/08/2004 00:00,Luisa
225,225,01/04/2004 00:00,Parking,Alquiler,Barcelona,152,1069320,15/12/2004 00:00,Jesús
226,226,01/04/2004 00:00,Local,Alquiler,Tarragona,182,1133132,29/08/2004 00:00,Joaquín
227,227,01/04/2004 00:00,Casa,Venta,Lleida,179,1670965,09/09/2004 00:00,Luisa
228,228,01/04/2004 00:00,Local,Venta,Girona,211,2010619,12/11/2004 00:00,Jesús
229,229,01/04/2004 00:00,Oficina,Venta,Tarragona,117,739206,25/01/2005 00:00,Carmen
230,230,02/04/2004 00:00,Oficina,Alquiler,Tarragona,186,1382166,01/03/2005 00:00,Pedro
231,231,03/04/2004 00:00,Local,Alquiler,Barcelona,143,665951,18/02/2005 00:00,Pedro
232,232,03/04/2004 00:00,Oficina,Venta,Tarragona,212,1479548,03/11/2004 00:00,María
233,233,03/04/2004 00:00,Local,Alquiler,Girona,246,1362348,05/10/2004 00:00,Joaquín
234,234,03/04/2004 00:00,Suelo,Venta,Girona,230,1722700,26/03/2005 00:00,Carmen
235,235,03/04/2004 00:00,Suelo,Venta,Lleida,126,848358,02/11/2004 00:00,Pedro
236,236,03/04/2004 00:00,Industrial,Venta,Girona,226,2104286,26/08/2004 00:00,Carmen
237,237,05/04/2004 00:00,Piso,Venta,Tarragona,262,1748850,07/10/2004 00:00,Pedro
238,238,05/04/2004 00:00,Casa,Alquiler,Barcelona,170,995520,01/02/2005 00:00,Jesús
239,239,05/04/2004 00:00,Piso,Alquiler,Lleida,268,2338032,02/01/2005 00:00,Pedro
240,240,06/04/2004 00:00,Parking,Venta,Barcelona,164,1298716,03/12/2004 00:00,Luisa
241,241,06/04/2004 00:00,Local,Venta,Lleida,260,2038660,26/07/2004 00:00,Carmen
242,242,07/04/2004 00:00,Suelo,Venta,Barcelona,69,656535,16/08/2004 00:00,Jesús
243,243,07/04/2004 00:00,Local,Venta,Lleida,298,1870546,31/03/2005 00:00,Luisa
244,244,07/04/2004 00:00,Local,Alquiler,Tarragona,284,1431076,22/12/2004 00:00,María
245,245,08/04/2004 00:00,Casa,Venta,Barcelona,239,1176597,07/07/2004 00:00,Joaquín
246,246,09/04/2004 00:00,Local,Venta,Girona,287,1936102,08/04/2005 00:00,Jesús
247,247,09/04/2004 00:00,Industrial,Alquiler,Barcelona,159,1582527,09/12/2004 00:00,Jesús
248,248,09/04/2004 00:00,Suelo,Alquiler,Girona,136,873120,26/12/2004 00:00,Pedro
249,249,09/04/2004 00:00,Industrial,Venta,Tarragona,223,2026401,13/12/2004 00:00,Joaquín
250,250,09/04/2004 00:00,Piso,Alquiler,Lleida,175,747075,01/02/2005 00:00,Pedro
251,251,09/04/2004 00:00,Suelo,Venta,Lleida,124,1130632,22/01/2005 00:00,Pedro
252,252,09/04/2004 00:00,Parking,Alquiler,Lleida,168,1622040,15/10/2004 00:00,María
253,253,10/04/2004 00:00,Parking,Venta,Tarragona,106,567206,08/08/2004 00:00,María
254,254,10/04/2004 00:00,Piso,Venta,Girona,67,379689,29/10/2004 00:00,Pedro
255,255,10/04/2004 00:00,Local,Alquiler,Barcelona,49,424536,04/03/2005 00:00,Pedro
256,256,10/04/2004 00:00,Industrial,Venta,Girona,238,1620304,05/10/2004 00:00,Carmen
257,257,11/04/2004 00:00,Suelo,Alquiler,Lleida,261,1220697,09/02/2005 00:00,Carmen
258,258,11/04/2004 00:00,Suelo,Alquiler,Barcelona,242,1099648,13/02/2005 00:00,María
259,259,11/04/2004 00:00,Parking,Venta,Tarragona,138,1183212,26/02/2005 00:00,Luisa
260,260,12/04/2004 00:00,Piso,Alquiler,Tarragona,258,1750014,09/12/2004 00:00,Luisa
261,261,12/04/2004 00:00,Casa,Alquiler,Lleida,201,1107108,07/04/2005 00:00,Joaquín
262,262,12/04/2004 00:00,Casa,Alquiler,Barcelona,181,1449629,14/09/2004 00:00,Luisa
263,263,13/04/2004 00:00,Oficina,Alquiler,Barcelona,244,1006988,06/08/2004 00:00,María
264,264,14/04/2004 00:00,Parking,Alquiler,Tarragona,258,1770912,02/03/2005 00:00,Jesús
265,265,14/04/2004 00:00,Parking,Venta,Barcelona,105,927255,21/11/2004 00:00,Luisa
266,266,14/04/2004 00:00,Parking,Alquiler,Tarragona,216,1125792,16/09/2004 00:00,Jesús
267,267,14/04/2004 00:00,Casa,Venta,Girona,204,1291116,27/09/2004 00:00,Carmen
268,268,15/04/2004 00:00,Industrial,Alquiler,Girona,150,968250,15/02/2005 00:00,María
269,269,15/04/2004 00:00,Parking,Venta,Lleida,52,446888,01/09/2004 00:00,María
270,270,15/04/2004 00:00,Parking,Alquiler,Tarragona,223,1342906,31/10/2004 00:00,Joaquín
271,271,15/04/2004 00:00,Local,Alquiler,Lleida,237,1093281,02/01/2005 00:00,Jesús
272,272,15/04/2004 00:00,Suelo,Venta,Lleida,270,2409210,03/09/2004 00:00,Carmen
273,273,15/04/2004 00:00,Piso,Alquiler,Lleida,120,722880,14/02/2005 00:00,Joaquín
